,lcID,lcEta,lcPhi,lcX,lcY,lcZ,lcLayer,lcEnergy,lcToTrack1,lcToTrack2,lcToTrack3,isSeed
236,236.0,1.919333815574646,2.297245502471924,-67.89219665527344,76.4084243774414,340.8672180175781,14.0,0.0958535447716713,1.0,-1.0,-1.0,0.0
237,237.0,1.8461700677871704,2.2878851890563965,-72.52434539794922,83.17674255371094,340.8672180175781,14.0,0.054195672273635864,1.0,-1.0,-1.0,0.0
238,238.0,1.8635793924331665,2.2659692764282227,-69.40357971191406,83.21073150634766,340.8672180175781,14.0,0.0408489815890789,1.0,-1.0,-1.0,0.0
239,239.0,1.8753267526626587,2.202030658721924,-63.16204833984375,86.40419006347656,340.8672180175781,14.0,0.02992895245552063,1.0,-1.0,-1.0,0.0
240,240.0,1.7892310619354248,2.2971463203430176,-77.82561492919922,87.60537719726562,340.8672180175781,14.0,0.026693392544984818,1.0,-1.0,-1.0,0.0
241,241.0,1.806369662284851,-0.8733451962471008,73.9113540649414,-88.20596313476562,340.8672180175781,14.0,0.046106766909360886,0.0,-1.0,-1.0,0.0
242,242.0,1.7206993103027344,-0.858851969242096,82.33338165283203,-95.4130630493164,340.8672180175781,14.0,0.02062671259045601,0.0,-1.0,-1.0,0.0
243,243.0,1.7410824298858643,-0.839760422706604,82.33338165283203,-91.80951690673828,340.8672180175781,14.0,0.01658225804567337,0.0,-1.0,-1.0,0.0
244,244.0,1.7404917478561401,-0.7867708802223206,87.13520812988281,-87.374755859375,340.8672180175781,14.0,0.5049499869346619,0.0,-1.0,-1.0,0.0
245,245.0,1.7474560737609863,-0.7624632716178894,88.57492065429688,-84.60242462158203,340.8672180175781,14.0,0.016177812591195107,0.0,-1.0,-1.0,0.0
246,246.0,1.7005387544631958,-0.8052476644515991,89.22708892822266,-92.84153747558594,340.8672180175781,14.0,13.508543968200684,0.0,-1.0,-1.0,0.0
247,247.0,1.6804664134979248,-0.7534193992614746,95.95669555664062,-90.00775146484375,340.8672790527344,14.0,0.025859370827674866,0.0,-1.0,-1.0,0.0
248,248.0,1.6549453735351562,-0.7708336114883423,96.99695587158203,-94.2118911743164,340.8672790527344,14.0,0.010505369864404202,0.0,-1.0,-1.0,0.0
