,i,j,k,x,y,z,layer,energy,LCID,TrkId
91,21.0,5.0,2.0,88.62492370605469,-95.49967193603516,331.957275390625,8.0,0.0495626106858253,84.0,27.0
92,21.0,5.0,2.0,88.62492370605469,-97.90203857421876,333.9827575683594,9.0,0.0158923584967851,109.0,27.0
93,21.0,5.0,3.0,84.44134521484375,-96.1198272705078,334.9272766113281,10.0,0.0204699579626321,133.0,28.0
94,21.0,5.0,3.0,85.50415802001953,-98.50262451171876,336.9527587890625,11.0,0.0158850569278001,164.0,28.0
95,21.0,5.0,3.0,85.50415802001953,-98.50262451171876,337.8973083496094,12.0,0.057374108582735,194.0,28.0
96,21.0,5.0,5.0,82.3333969116211,-93.47811126708984,343.8372497558594,16.0,0.1296691000461578,307.0,29.0
97,21.0,5.0,5.0,84.41389465332031,-94.55650329589844,345.8627624511719,17.0,0.1180980280041694,339.0,29.0
98,21.0,5.0,5.0,84.46389770507812,-96.70084381103516,348.832763671875,19.0,0.1757629066705703,393.0,29.0
99,21.0,5.0,7.0,84.46389770507812,-96.70084381103516,352.7472229003906,22.0,0.0263981092721223,458.0,30.0
100,21.0,5.0,7.0,84.46389770507812,-97.90203857421876,354.7727966308594,23.0,0.0129296854138374,478.0,30.0
101,21.0,5.0,7.0,84.46389770507812,-96.70084381103516,357.7427673339844,25.0,0.0121215805411338,521.0,30.0
102,21.0,6.0,1.0,85.45415496826172,-88.80656433105469,326.0173034667969,4.0,1.7352312803268433,21.0,31.0
103,21.0,6.0,1.0,85.98027801513672,-89.34794616699219,328.0427551269531,5.0,5.044728755950928,29.0,31.0
104,21.0,6.0,1.0,86.35054016113281,-89.55403137207031,328.9872741699219,6.0,9.127506256103516,41.0,31.0
105,21.0,6.0,1.0,86.51482391357422,-90.24264526367188,331.0127258300781,7.0,13.426454544067385,60.0,31.0
106,21.0,6.0,2.0,86.51482391357422,-90.24264526367188,331.0127258300781,7.0,13.426454544067385,60.0,32.0
107,21.0,6.0,2.0,86.78165435791016,-90.44397735595705,331.9572448730469,8.0,20.14655876159668,79.0,32.0
108,21.0,6.0,2.0,87.3458480834961,-90.9997100830078,333.9827575683594,9.0,27.48407554626465,101.0,32.0
109,21.0,6.0,2.0,87.69679260253906,-91.3025360107422,334.92724609375,10.0,30.08402633666992,125.0,32.0
110,21.0,6.0,3.0,87.69679260253906,-91.3025360107422,334.92724609375,10.0,30.08402633666992,125.0,33.0
111,21.0,6.0,3.0,88.14466094970703,-91.73204803466795,336.9527587890625,11.0,29.14374351501465,156.0,33.0
112,21.0,6.0,3.0,88.46700286865234,-92.1204071044922,337.8972473144531,12.0,22.364524841308597,187.0,33.0
113,21.0,6.0,3.0,88.9211654663086,-92.55553436279295,339.9227600097656,13.0,19.201446533203125,218.0,33.0
114,21.0,6.0,4.0,88.9211654663086,-92.55553436279295,339.9227600097656,13.0,19.201446533203125,218.0,34.0
115,21.0,6.0,4.0,89.22708892822266,-92.84153747558594,340.8672180175781,14.0,13.508543968200684,246.0,34.0
116,21.0,6.0,4.0,89.53289031982422,-93.1646957397461,342.8927307128906,15.0,11.86898136138916,287.0,34.0
117,21.0,7.0,1.0,85.45415496826172,-88.80656433105469,326.0173034667969,4.0,1.7352312803268433,21.0,35.0
118,21.0,7.0,1.0,85.98027801513672,-89.34794616699219,328.0427551269531,5.0,5.044728755950928,29.0,35.0
119,21.0,7.0,1.0,86.35054016113281,-89.55403137207031,328.9872741699219,6.0,9.127506256103516,41.0,35.0
120,21.0,7.0,3.0,82.33338165283203,-87.68541717529297,336.9527587890625,11.0,0.0359782390296459,154.0,36.0
121,21.0,7.0,3.0,82.33338165283203,-87.00479125976562,337.8972473144531,12.0,0.0501500219106674,182.0,36.0
122,21.0,7.0,3.0,85.45415496826172,-87.60537719726562,339.9227600097656,13.0,0.0804826989769935,216.0,36.0
123,21.0,7.0,4.0,86.49440002441406,-85.80360412597656,339.9227600097656,13.0,0.0448923595249652,217.0,37.0
124,21.0,7.0,4.0,88.57492065429688,-84.60242462158203,340.8672180175781,14.0,0.0161778125911951,245.0,37.0
125,21.0,7.0,4.0,87.53466033935547,-87.60537719726562,343.8372497558594,16.0,0.0238622743636369,309.0,37.0
126,21.0,8.0,3.0,86.49440002441406,-82.2000503540039,334.92724609375,10.0,0.0173827446997165,124.0,38.0
127,21.0,8.0,3.0,83.37364196777344,-84.0018310546875,336.9527587890625,11.0,0.0214252434670925,155.0,38.0
128,21.0,8.0,3.0,84.41390228271484,-85.80360412597656,337.8972473144531,12.0,0.064305268228054,185.0,38.0
129,21.0,8.0,3.0,86.49440002441406,-85.80360412597656,339.9227600097656,13.0,0.0448923595249652,217.0,38.0
130,21.0,8.0,4.0,86.49440002441406,-85.80360412597656,339.9227600097656,13.0,0.0448923595249652,217.0,39.0
131,21.0,8.0,4.0,88.57492065429688,-84.60242462158203,340.8672180175781,14.0,0.0161778125911951,245.0,39.0
132,21.0,8.0,4.0,89.61516571044922,-85.20301818847656,343.8372497558594,16.0,0.0432756505906581,311.0,39.0
133,22.0,3.0,7.0,94.86643981933594,-102.7067642211914,352.7472229003906,22.0,0.0538736879825592,462.0,40.0
134,22.0,3.0,7.0,95.90670013427734,-103.3073501586914,355.7172546386719,24.0,0.0131990546360611,504.0,40.0
135,22.0,3.0,7.0,93.30347442626952,-103.6091537475586,357.7427673339844,25.0,0.0245125293731689,526.0,40.0
136,22.0,3.0,8.0,93.30347442626952,-103.6091537475586,357.7427673339844,25.0,0.0245125293731689,526.0,41.0
137,22.0,3.0,8.0,93.8261947631836,-102.1061782836914,360.7127685546875,27.0,0.0215494763106107,551.0,41.0
138,22.0,3.0,8.0,93.8261947631836,-102.1061782836914,361.6572570800781,28.0,0.0350339151918888,559.0,41.0
139,22.0,4.0,3.0,94.86643981933594,-99.10321807861328,334.9272766113281,10.0,0.0110387690365314,138.0,42.0
140,22.0,4.0,3.0,96.94696044921876,-101.50558471679688,336.9527587890625,11.0,0.01938515342772,167.0,42.0
141,22.0,4.0,3.0,95.90670776367188,-100.1613540649414,337.8973083496094,12.0,0.0269361995160579,199.0,42.0
142,22.0,4.0,3.0,96.94696044921876,-100.3043975830078,339.9227600097656,13.0,0.0083502233028411,229.0,42.0
143,22.0,4.0,4.0,90.7054214477539,-99.10321807861328,339.9227600097656,13.0,0.0107744801789522,225.0,43.0
144,22.0,4.0,4.0,91.74568176269533,-100.9049835205078,342.8927307128906,15.0,0.0148152643814682,288.0,43.0
145,22.0,4.0,4.0,92.78594207763672,-101.50558471679688,343.8372497558594,16.0,0.0581835806369781,322.0,43.0
146,22.0,4.0,4.0,94.75157165527344,-98.33831787109376,340.8672790527344,14.0,0.1012825369834899,258.0,44.0
147,22.0,4.0,4.0,94.86643981933594,-99.10321807861328,342.8927307128906,15.0,0.053604319691658,291.0,44.0
148,22.0,4.0,4.0,94.86643981933594,-97.90203857421876,343.8372497558594,16.0,0.0131990546360611,324.0,44.0
149,22.0,4.0,4.0,94.86643981933594,-100.3043975830078,339.9227600097656,13.0,0.0215489603579044,227.0,45.0
150,22.0,4.0,4.0,94.86643981933594,-102.7067642211914,340.8672790527344,14.0,0.0859285295009613,257.0,45.0
151,22.0,4.0,4.0,93.8261947631836,-102.1061782836914,342.8927307128906,15.0,0.0649177953600883,290.0,45.0
152,22.0,4.0,5.0,94.86643981933594,-97.90203857421876,343.8372497558594,16.0,0.0131990546360611,324.0,46.0
153,22.0,4.0,5.0,97.98721313476562,-98.50262451171876,345.8627624511719,17.0,0.0150846326723694,351.0,46.0
154,22.0,4.0,5.0,97.98721313476562,-99.70380401611328,346.8072509765625,18.0,0.0150846326723694,372.0,46.0
155,22.0,4.0,5.0,97.98721313476562,-98.50262451171876,348.832763671875,19.0,0.0700357928872108,401.0,46.0
156,22.0,4.0,5.0,92.78594207763672,-101.50558471679688,343.8372497558594,16.0,0.0581835806369781,322.0,47.0
157,22.0,4.0,5.0,90.7054214477539,-99.10321807861328,345.8627624511719,17.0,0.0765006393194198,347.0,47.0
158,22.0,4.0,5.0,90.7054214477539,-101.50558471679688,346.8072509765625,18.0,0.0277449507266283,368.0,47.0
159,22.0,4.0,5.0,90.70542907714844,-103.0899658203125,348.832763671875,19.0,0.0918546393513679,396.0,47.0
160,22.0,4.0,5.0,92.78594207763672,-99.10321807861328,343.8372497558594,16.0,0.0080810543149709,323.0,48.0
161,22.0,4.0,5.0,92.78594207763672,-100.3043975830078,345.8627624511719,17.0,0.0371728464961051,349.0,48.0
162,22.0,4.0,5.0,92.78594207763672,-100.3043975830078,348.832763671875,19.0,0.0169702135026454,399.0,48.0
163,22.0,4.0,6.0,92.78594207763672,-102.7067642211914,348.832763671875,19.0,0.0150846326723694,398.0,49.0
164,22.0,4.0,6.0,94.86643981933594,-101.50558471679688,351.8027648925781,21.0,0.0153540018945932,442.0,49.0
165,22.0,4.0,6.0,94.86643981933594,-102.7067642211914,352.7472229003906,22.0,0.0538736879825592,462.0,49.0
166,22.0,4.0,7.0,94.86643981933594,-102.7067642211914,352.7472229003906,22.0,0.0538736879825592,462.0,50.0
167,22.0,4.0,7.0,93.2646255493164,-101.2292022705078,354.7727966308594,23.0,0.0436376854777336,481.0,50.0
168,22.0,4.0,7.0,96.94696044921876,-101.50558471679688,357.7427673339844,25.0,0.0355566330254077,527.0,50.0
169,22.0,4.0,8.0,90.7054214477539,-101.50558471679688,358.687255859375,26.0,0.0094278948381543,533.0,51.0
170,22.0,4.0,8.0,93.8261947631836,-102.1061782836914,360.7127685546875,27.0,0.0215494763106107,551.0,51.0
171,22.0,4.0,8.0,93.8261947631836,-102.1061782836914,361.6572570800781,28.0,0.0350339151918888,559.0,51.0
172,22.0,5.0,3.0,92.78594207763672,-95.49967193603516,334.9272766113281,10.0,0.0352702103555202,136.0,52.0
173,22.0,5.0,3.0,90.7054214477539,-96.70084381103516,336.9527587890625,11.0,0.0099618155509233,166.0,52.0
174,22.0,5.0,3.0,95.90670013427734,-96.10025787353516,339.9227600097656,13.0,0.0099663939327001,228.0,52.0
175,22.0,5.0,5.0,90.1907958984375,-93.83653259277344,343.8372497558594,16.0,8.923811912536621,321.0,53.0
176,22.0,5.0,5.0,90.54095458984376,-94.15360260009766,345.8627624511719,17.0,7.835789680480957,348.0,53.0
177,22.0,5.0,5.0,90.93644714355467,-94.69862365722656,346.8072509765625,18.0,6.180500030517578,369.0,53.0
178,22.0,5.0,5.0,91.50211334228516,-95.03970336914062,348.832763671875,19.0,5.859744071960449,397.0,53.0
179,22.0,5.0,5.0,94.86643981933594,-97.90203857421876,343.8372497558594,16.0,0.0131990546360611,324.0,54.0
180,22.0,5.0,5.0,94.86644744873048,-98.78475952148438,345.8627624511719,17.0,0.0692276880145073,350.0,54.0
181,22.0,5.0,5.0,97.98721313476562,-98.50262451171876,348.832763671875,19.0,0.0700357928872108,401.0,54.0
182,22.0,5.0,6.0,91.50211334228516,-95.03970336914062,348.832763671875,19.0,5.859744071960449,397.0,55.0
183,22.0,5.0,6.0,91.7737808227539,-95.43992614746094,349.7772521972656,20.0,2.629170656204224,422.0,55.0
184,22.0,5.0,6.0,92.390380859375,-95.8727798461914,351.8027648925781,21.0,2.62199330329895,441.0,55.0
185,22.0,5.0,6.0,92.6581573486328,-96.88084411621094,352.7472229003906,22.0,1.0778779983520508,461.0,55.0
186,22.0,5.0,7.0,92.6581573486328,-96.88084411621094,352.7472229003906,22.0,1.0778779983520508,461.0,56.0
187,22.0,5.0,7.0,93.39786529541016,-97.13285064697266,354.7727966308594,23.0,1.0541733503341677,482.0,56.0
188,22.0,5.0,7.0,93.8261947631836,-96.06289672851562,355.7172546386719,24.0,0.6314122080802917,503.0,56.0
189,22.0,5.0,8.0,94.86643981933594,-95.49967193603516,358.687255859375,26.0,0.0121215805411338,537.0,57.0
190,22.0,5.0,8.0,93.8261947631836,-94.87655639648438,360.7127685546875,27.0,0.0422908477485179,552.0,57.0
191,22.0,5.0,8.0,93.8261947631836,-94.89907836914062,361.6572570800781,28.0,0.1082866415381431,560.0,57.0
192,22.0,5.0,8.0,90.43229675292967,-95.6573715209961,358.687255859375,26.0,0.0958951637148857,534.0,58.0
193,22.0,5.0,8.0,91.32618713378906,-95.14127349853516,360.7127685546875,27.0,0.0592610575258731,550.0,58.0
194,22.0,5.0,8.0,90.70543670654295,-95.8023681640625,361.6572570800781,28.0,0.2348864674568176,557.0,58.0
195,22.0,6.0,4.0,88.9211654663086,-92.55553436279295,339.9227600097656,13.0,19.201446533203125,218.0,59.0
196,22.0,6.0,4.0,89.22708892822266,-92.84153747558594,340.8672180175781,14.0,13.508543968200684,246.0,59.0
197,22.0,6.0,4.0,89.53289031982422,-93.1646957397461,342.8927307128906,15.0,11.86898136138916,287.0,59.0
198,22.0,6.0,4.0,90.1907958984375,-93.83653259277344,343.8372497558594,16.0,8.923811912536621,321.0,59.0
199,22.0,6.0,4.0,95.95669555664062,-90.00775146484375,340.8672790527344,14.0,0.0258593708276748,247.0,60.0
200,22.0,6.0,4.0,95.95669555664062,-92.4101104736328,342.8927307128906,15.0,0.0223575830459594,276.0,60.0
201,22.0,6.0,4.0,95.95669555664062,-91.20893096923828,343.8372497558594,16.0,0.0404052659869194,314.0,60.0
202,22.0,6.0,5.0,95.95669555664062,-91.20893096923828,343.8372497558594,16.0,0.0404052659869194,314.0,61.0
203,22.0,6.0,5.0,96.99695587158205,-91.80951690673828,346.8072509765625,18.0,0.0387890562415123,360.0,61.0
204,22.0,6.0,5.0,95.95669555664062,-91.20893096923828,348.832763671875,19.0,0.0517187416553497,389.0,61.0
205,22.0,7.0,3.0,93.25521087646484,-86.0456771850586,334.9272766113281,10.0,0.1960054636001587,127.0,62.0
206,22.0,7.0,3.0,92.28976440429688,-84.89010620117188,336.9527587890625,11.0,0.1059919595718383,158.0,62.0
