,lcID,lcEta,lcPhi,lcX,lcY,lcZ,lcLayer,lcToTrack1,lcToTrack2,lcToTrack3,isSeed
32,32.0,1.870103120803833,-3.000239610671997,-101.90148162841797,-14.500797271728516,326.0173034667969,4.0,0.0,-1.0,-1.0,0.0
33,33.0,1.6155110597610474,1.5112926959991455,8.025290489196777,134.71131896972656,326.0172424316406,4.0,1.0,-1.0,-1.0,0.0
34,34.0,1.9156485795974731,3.123345375061035,-98.730712890625,1.801774501800537,328.0427551269531,5.0,0.0,-1.0,-1.0,0.0
35,35.0,1.792696475982666,3.130902051925659,-112.35403442382812,1.2011828422546387,328.0427551269531,5.0,0.0,-1.0,-1.0,0.0
36,36.0,1.8048784732818604,-3.1122379302978516,-110.87605285644531,-3.2556817531585693,328.0427551269531,5.0,0.0,-1.0,-1.0,0.0
37,37.0,1.822767734527588,3.1324474811553955,-108.84619903564453,0.9954343438148499,328.0427551269531,5.0,0.0,-1.0,-1.0,0.0
38,38.0,1.8967862129211426,1.4806609153747559,9.065543174743652,100.30440521240234,328.0427551269531,5.0,1.0,-1.0,-1.0,0.0
39,39.0,1.9246379137039185,1.4673066139221191,10.10579776763916,97.30143737792969,328.0427551269531,5.0,1.0,-1.0,-1.0,0.0
40,40.0,1.8400087356567383,1.4663333892822266,11.146055221557617,106.31031036376953,328.0427551269531,5.0,1.0,-1.0,-1.0,0.0
41,41.0,1.8036543130874634,1.4320837259292603,15.357071876525879,110.0004653930664,328.0427551269531,5.0,1.0,-1.0,-1.0,0.0
42,42.0,1.8111873865127563,1.4118748903274536,17.43758201599121,108.79928588867188,328.0427551269531,5.0,1.0,-1.0,-1.0,0.0
43,43.0,1.8390748500823975,1.5740370750427246,-0.3467516303062439,106.99750518798828,328.0427551269531,5.0,1.0,-1.0,-1.0,0.0
44,44.0,1.8401122093200684,3.0911433696746826,-107.05274963378906,5.405323505401611,328.9872741699219,6.0,0.0,-1.0,-1.0,0.0
45,45.0,1.869494915008545,3.1415927410125732,-103.9319839477539,0.0,328.9872741699219,6.0,0.0,-1.0,-1.0,0.0
46,46.0,1.7593239545822144,3.0798158645629883,-116.51505279541016,7.207098007202148,328.9872741699219,6.0,0.0,-1.0,-1.0,0.0
47,47.0,1.7736421823501587,3.123335599899292,-114.9598617553711,2.099072217941284,328.9872741699219,6.0,0.0,-1.0,-1.0,0.0
48,48.0,1.7951005697250366,-3.1136162281036377,-112.35403442382812,-3.144080638885498,328.9872741699219,6.0,0.0,-1.0,-1.0,0.0
49,49.0,1.8221291303634644,3.1327195167541504,-109.23333740234375,0.9692589044570923,328.9872741699219,6.0,0.0,-1.0,-1.0,0.0
50,50.0,1.8383029699325562,3.0680179595947266,-107.1027603149414,7.894291877746582,328.9872741699219,6.0,0.0,-1.0,-1.0,0.0
51,51.0,2.0049021244049072,1.6438628435134888,-6.588281631469727,90.00775146484375,328.9872741699219,6.0,1.0,-1.0,-1.0,0.0
52,52.0,1.8382108211517334,1.338082194328308,24.769367218017578,104.508544921875,328.9872741699219,6.0,1.0,-1.0,-1.0,0.0
53,53.0,1.8526995182037354,1.5342570543289185,3.8642706871032715,105.709716796875,328.9872741699219,6.0,1.0,-1.0,-1.0,0.0
54,54.0,1.8458935022354126,1.5051864385604858,6.9850358963012695,106.31031036376953,328.9872741699219,6.0,1.0,-1.0,-1.0,0.0
55,55.0,1.8960895538330078,1.4809515476226807,9.069015502929688,100.66917419433594,328.9872741699219,6.0,1.0,-1.0,-1.0,0.0
56,56.0,1.9632184505462646,1.4633564949035645,10.105794906616211,93.69789123535156,328.9872741699219,6.0,1.0,-1.0,-1.0,0.0
57,57.0,1.9318313598632812,1.4567959308624268,11.076537132263184,96.7409896850586,328.9872741699219,6.0,1.0,-1.0,-1.0,0.0
58,58.0,1.8086715936660767,1.4506818056106567,13.276562690734863,110.0004653930664,328.9872741699219,6.0,1.0,-1.0,-1.0,0.0
59,59.0,1.8000659942626953,1.4236119985580444,16.39732551574707,110.6010513305664,328.9872741699219,6.0,1.0,-1.0,-1.0,0.0
60,60.0,1.8341017961502075,-3.1174726486206055,-108.50159454345703,-2.6175739765167236,331.0127258300781,7.0,0.0,-1.0,-1.0,0.0
61,61.0,1.8753491640090942,3.1415927410125732,-103.9319839477539,0.0,331.0127258300781,7.0,0.0,-1.0,-1.0,0.0
